data,Libya,Benghazi,Tripoli,Misrata,Aljufra,Ejdabia,Aljfara,Azzawya,Sebha,Alkufra,Murzuq
In which country were you born?,,,,,,,,,,,
Niger,13,3,13,30,21,3,0,13,11,10,14
Sudan,13,16,13,15,8,22,0,6,5,21,7
Egypt,12,26,5,14,12,21,0,6,7,8,10
Tchad,9,8,6,5,4,14,50,11,9,20,5
Ghana,9,3,4,7,13,10,0,17,11,6,11
Nigeria,9,3,9,9,15,2,0,12,9,7,14
Mali,5,0,6,3,3,0,0,13,11,1,7
Syria,4,8,4,4,2,13,50,4,1,1,2
Senegal,3,0,1,1,4,0,0,1,4,1,15
Morocco,2,3,3,3,3,1,0,4,3,2,1
Somalia,2,7,5,0,0,0,0,0,3,6,1
Eritrea,2,4,5,1,2,3,0,2,0,4,0
Other (please specify),2,3,11,1,1,0,0,2,1,3,0
Bangladesh,2,4,3,1,0,6,0,2,0,0,1
Ethiopia,2,2,5,0,0,2,0,1,0,6,1
Tunisia,2,5,1,1,3,3,0,1,2,0,0
Mauritania,1,0,0,0,2,0,0,1,4,1,5
Cameroon,1,0,2,1,1,0,0,0,5,3,1
Burkina Faso,1,0,1,0,3,0,0,0,4,0,2
Algeria,1,4,0,2,0,0,0,1,1,0,1
CôtedIvoire,1,0,1,1,0,0,0,1,5,0,1
Guinea,1,0,0,2,0,1,0,1,2,1,0
Palestine,1,1,3,0,1,0,0,0,1,0,1
Pakistan,0,2,0,0,0,0,0,1,1,0,1
Kenya,0,1,1,0,0,0,0,0,1,0,1
Libya,0,0,1,2,0,0,0,0,0,0,0
In which country was your father born?,,,,,,,,,,,
Palestine,50,,0,67,,,,,,,
Libya,25,,100,0,,,,,,,
Other (please specify),25,,0,33,,,,,,,
In which country was your mother born?,,,,,,,,,,,
Palestine,50,,0,67,,,,,,,
Nigeria,25,,100,0,,,,,,,
Syria,25,,0,33,,,,,,,
region_of_origin,,,,,,,,,,,
w_c_africa,54,16,46,58,67,29,50,70,77,52,74
mena,36,64,33,41,31,60,50,23,19,32,21
e_africa,7,14,18,1,2,5,0,3,4,16,2
Other (please specify),2,6,3,1,0,6,0,4,1,0,2
What nationality do you possess?,,,,,,,,,,,
Niger,13,2,13,30,21,3,0,13,11,10,15
Sudan,13,16,13,15,8,22,0,5,4,21,7
Egypt,12,26,4,13,12,21,0,6,7,8,11
Tchad,9,8,6,5,4,14,50,11,9,20,5
Ghana,9,3,4,7,13,10,0,17,11,6,11
Nigeria,9,3,10,9,15,2,0,12,9,7,12
Mali,5,0,6,3,3,0,0,13,11,1,7
Syria,4,8,4,3,2,13,50,5,1,1,2
Senegal,3,0,1,1,4,0,0,1,4,1,15
Morocco,2,3,3,3,3,1,0,4,3,2,1
Other (please specify),2,3,12,1,1,0,0,2,1,3,0
Somalia,2,7,5,0,0,0,0,0,2,5,1
Eritrea,2,4,4,0,2,4,0,2,0,4,0
Bangladesh,2,4,3,1,0,6,0,2,0,0,1
Ethiopia,2,2,5,0,0,2,0,1,0,6,0
Tunisia,2,4,1,0,3,3,0,1,2,0,0
Mauritania,1,0,0,0,2,0,0,1,4,1,5
Cameroon,1,0,2,1,1,0,0,0,5,3,0
Burkina Faso,1,0,1,1,3,0,0,0,4,0,2
Algeria,1,4,0,2,0,0,0,1,1,0,1
CôtedIvoire,1,0,1,1,0,0,0,1,5,0,1
Palestine,1,1,4,2,1,0,0,0,1,0,1
Guinea,1,0,0,2,0,0,0,1,2,1,0
Pakistan,0,2,0,0,0,0,0,1,1,0,1
Kenya,0,1,1,0,0,0,0,0,1,0,0
Don't know,0,0,0,1,0,0,0,0,0,0,0
Prefer not to answer,0,0,0,1,0,0,0,0,0,0,0
Togo,0,1,0,0,0,0,0,0,0,0,0
What are your primary What are your primary languages??,,,,,,,,,,,
1. Arabic,63,89,50,63,38,80,100,25,93,46,94
2. English,24,11,23,17,29,16,0,60,12,17,30
3. French,29,7,23,19,24,8,50,62,64,22,37
4. Hausa,15,1,16,33,21,4,0,29,5,9,18
5. Songhai/Zarma/Djerma,4,0,0,2,0,1,0,34,0,0,1
6. Sara/Bongo/Bagirmi,1,3,1,0,0,1,0,6,0,0,0
7. Bedawi/Beja,1,0,0,0,0,0,0,5,0,0,1
8. Nubian,2,0,0,1,0,1,0,16,0,0,0
9. Fur,0,0,0,0,0,0,0,1,0,0,0
10. Zaghawa,1,0,0,0,0,2,0,2,1,6,2
11. Dinka ,1,0,1,0,0,0,0,4,0,1,0
12. Fula/Fulani/Fulfulde,1,0,0,1,0,1,0,1,0,1,4
13. Tamasheq,0,0,0,0,0,0,0,0,0,0,0
14. Kanuri,0,0,0,1,0,0,0,2,0,0,0
15. Igbo/Ibo,1,0,2,1,0,0,0,8,0,0,0
16. Yoruba,1,0,3,2,0,0,0,4,0,1,0
17. Akan/Asante/Fante,1,0,1,3,0,4,0,4,0,0,0
